Date,Open,High,Low,Close,Adj Close,Volume
2024-01-17,484.500000,486.209991,475.260010,480.329987,480.329987,4894600
2024-01-18,480.029999,485.769989,478.019989,485.309998,485.309998,4054400
2024-01-19,484.980011,485.670013,476.059998,482.950012,482.950012,5665600
2024-01-22,487.549988,489.799988,479.899994,485.709991,485.709991,5212300
2024-01-23,492.000000,498.959991,481.399994,492.190002,492.190002,15506000
2024-01-24,537.750000,562.500000,537.070007,544.869995,544.869995,26432800
2024-01-25,551.950012,563.460022,548.460022,562.000000,562.000000,9451900
2024-01-26,561.809998,579.640015,558.429993,570.419983,570.419983,12770600
2024-01-29,571.349976,578.549988,562.679993,575.789978,575.789978,6905400
2024-01-30,567.320007,570.880005,560.820007,562.849976,562.849976,6181800
2024-01-31,562.849976,572.150024,562.039978,564.109985,564.109985,4857600
2024-02-01,567.020020,572.659973,563.830017,567.510010,567.510010,3174000
2024-02-02,564.520020,567.799988,562.369995,564.640015,564.640015,4030800
2024-02-05,562.469971,575.750000,557.200012,562.059998,562.059998,4143100
2024-02-06,564.119995,566.340027,554.369995,555.880005,555.880005,2840300
2024-02-07,558.159973,567.799988,554.979980,559.299988,559.299988,4373600
2024-02-08,560.549988,563.700012,555.739990,558.530029,558.530029,3175500
2024-02-09,565.000000,566.000000,558.099976,561.320007,561.320007,3055700
2024-02-12,560.359985,568.440002,557.000000,557.849976,557.849976,3608500
2024-02-13,550.799988,559.200012,549.000000,554.520020,554.520020,3511500
2024-02-14,567.260010,581.250000,564.340027,579.330017,579.330017,5634200
2024-02-15,581.909973,593.770020,580.320007,593.460022,593.460022,5220900
2024-02-16,596.950012,597.000000,577.460022,583.950012,583.950012,4323600
2024-02-20,580.179993,586.000000,569.659973,575.130005,575.130005,3124200
2024-02-21,573.510010,575.780029,567.320007,573.349976,573.349976,2281100
2024-02-22,582.750000,590.849976,578.890015,588.469971,588.469971,3526600
2024-02-23,586.400024,592.429993,579.820007,583.559998,583.559998,2568900
2024-02-26,583.559998,590.750000,583.270020,587.650024,587.650024,2393700
2024-02-27,595.000000,605.359985,592.330017,601.669983,601.669983,4489400
2024-02-28,595.789978,598.169983,590.010010,596.479980,596.479980,2605200
2024-02-29,604.250000,604.520020,595.159973,602.919983,602.919983,3572100
2024-03-01,599.809998,620.280029,599.500000,619.340027,619.340027,4264200
2024-03-04,621.559998,624.419983,615.080017,615.830017,615.830017,3020300
2024-03-05,610.099976,610.909973,592.000000,598.500000,598.500000,3849600
2024-03-06,602.989990,607.929993,593.559998,597.690002,597.690002,2469600
2024-03-07,599.340027,610.530029,595.900024,608.510010,608.510010,2742800
2024-03-08,608.270020,616.090027,600.840027,604.820007,604.820007,2774600
2024-03-11,608.080017,611.000000,600.369995,600.929993,600.929993,2500900
2024-03-12,600.210022,615.299988,596.270020,611.080017,611.080017,2821600
2024-03-13,613.369995,614.849976,607.210022,609.450012,609.450012,2192100
2024-03-14,615.000000,620.799988,607.349976,613.010010,613.010010,3120500
2024-03-15,622.919983,622.919983,603.820007,605.880005,605.880005,6670900
2024-03-18,613.559998,627.409973,610.450012,618.390015,618.390015,3344200
2024-03-19,615.619995,621.280029,608.000000,620.739990,620.739990,2142600
2024-03-20,619.950012,629.510010,618.340027,627.690002,627.690002,2639500
2024-03-21,630.650024,634.359985,622.330017,622.710022,622.710022,2507700
2024-03-22,624.159973,629.049988,621.000000,628.010010,628.010010,2134100
2024-03-25,627.900024,630.460022,623.159973,627.460022,627.460022,1803300
2024-03-26,625.200012,634.390015,619.179993,629.239990,629.239990,2804500
2024-03-27,629.010010,631.349976,610.729980,613.530029,613.530029,2628300
2024-03-28,614.989990,615.000000,601.590027,607.330017,607.330017,3708800
2024-04-01,608.000000,615.109985,605.570007,614.309998,614.309998,2115900
2024-04-02,611.000000,615.030029,605.510010,614.210022,614.210022,2029200
2024-04-03,612.750000,630.409973,611.500000,630.080017,630.080017,2931200
2024-04-04,633.210022,638.000000,616.580017,617.140015,617.140015,3064300
2024-04-05,624.919983,637.909973,622.710022,636.179993,636.179993,3372800
2024-04-08,636.390015,639.000000,628.109985,628.409973,628.409973,2145700
2024-04-09,631.989990,631.989990,615.630005,618.200012,618.200012,2146600
