Date,Open,High,Low,Close,Adj Close,Volume
2023-04-21,106.989998,108.070000,102.330002,107.320000,107.320000,1098700
2023-04-24,97.510002,103.370003,96.910004,98.589996,98.589996,4235100
2023-04-25,97.989998,97.989998,93.190002,93.279999,93.279999,2171100
2023-04-26,94.639999,96.180000,94.010002,94.889999,94.889999,1504300
2023-04-27,94.220001,98.760002,93.339996,98.580002,98.580002,1000600
2023-04-28,98.449997,105.500000,98.019997,105.430000,105.430000,1503700
2023-05-01,105.440002,107.959999,103.120003,105.110001,105.110001,1584500
2023-05-02,105.199997,107.800003,101.709999,104.430000,104.430000,2040900
2023-05-03,116.000000,136.639999,114.320000,133.949997,133.949997,8162800
2023-05-04,132.820007,139.500000,131.229996,136.399994,136.399994,2122800
2023-05-05,138.199997,143.529999,135.029999,137.229996,137.229996,2362800
2023-05-08,135.949997,139.229996,134.389999,136.630005,136.630005,1487700
2023-05-09,136.789993,137.500000,132.089996,132.250000,132.250000,1463600
2023-05-10,132.449997,135.580002,131.059998,134.279999,134.279999,1021100
2023-05-11,133.419998,137.470001,133.000000,136.429993,136.429993,1092700
2023-05-12,138.809998,139.880005,132.690002,134.500000,134.500000,792600
2023-05-15,136.000000,139.339996,135.550003,137.839996,137.839996,1001900
2023-05-16,137.830002,147.500000,137.600006,145.839996,145.839996,2289100
2023-05-17,147.000000,156.000000,147.000000,154.309998,154.309998,2751300
2023-05-18,155.449997,166.550003,155.449997,164.559998,164.559998,3278700
2023-05-19,167.410004,171.669998,160.240005,164.190002,164.190002,2775700
2023-05-22,164.199997,169.410004,162.550003,164.809998,164.809998,1753700
2023-05-23,162.910004,165.660004,159.580002,161.910004,161.910004,1437500
2023-05-24,159.630005,167.919998,158.259995,167.619995,167.619995,1551200
2023-05-25,196.009995,213.410004,192.500000,206.860001,206.860001,7137200
2023-05-26,209.949997,227.710007,207.009995,219.179993,219.179993,4989200
2023-05-30,228.000000,242.990005,227.669998,234.100006,234.100006,4830000
2023-05-31,226.339996,227.559998,216.000000,223.949997,223.949997,4416300
2023-06-01,226.630005,232.490005,220.240005,231.020004,231.020004,2968900
2023-06-02,234.490005,237.880005,220.199997,221.940002,221.940002,2728500
2023-06-05,219.139999,227.679993,217.020004,223.660004,223.660004,1923100
2023-06-06,221.000000,235.740005,220.119995,233.149994,233.149994,2071500
2023-06-07,244.029999,261.649994,237.000000,239.779999,239.779999,4494800
2023-06-08,240.630005,259.690002,237.119995,254.350006,254.350006,3522100
2023-06-09,263.000000,270.179993,256.880005,261.660004,261.660004,3507700
2023-06-12,264.700012,266.440002,245.339996,258.649994,258.649994,3468500
2023-06-13,260.850006,261.000000,232.110001,244.240005,244.240005,4520500
2023-06-14,243.169998,253.000000,239.139999,247.770004,247.770004,2645600
2023-06-15,244.460007,248.990005,239.199997,243.919998,243.919998,2198200
2023-06-16,245.000000,245.779999,230.369995,230.770004,230.770004,3031000
2023-06-20,227.300003,235.710007,219.330002,222.399994,222.399994,3363300
2023-06-21,221.000000,227.000000,217.199997,219.910004,219.910004,2603600
2023-06-22,221.990005,241.970001,221.139999,226.460007,226.460007,3936600
2023-06-23,222.339996,224.490005,214.229996,216.059998,216.059998,2509400
2023-06-26,219.710007,229.990005,213.080002,216.500000,216.500000,2840600
2023-06-27,222.410004,228.339996,218.509995,226.169998,226.169998,2432500
2023-06-28,223.270004,238.160004,220.289993,235.940002,235.940002,2666700
2023-06-29,240.800003,248.820007,231.350006,235.929993,235.929993,2726600
2023-06-30,240.000000,253.960007,239.880005,249.250000,249.250000,2551700
2023-07-03,254.889999,262.989990,246.710007,249.199997,249.199997,1710900
2023-07-05,248.000000,263.380005,247.949997,255.000000,255.000000,2059800
2023-07-06,252.990005,256.000000,245.100006,250.529999,250.529999,1757800
2023-07-07,255.000000,267.769989,254.550003,260.010010,260.010010,2869600
2023-07-10,262.000000,270.200012,253.309998,269.929993,269.929993,2511200
2023-07-11,275.170013,282.899994,262.540009,270.950012,270.950012,2932700
2023-07-12,273.049988,278.000000,265.209991,276.640015,276.640015,2774200
2023-07-13,280.260010,295.390015,279.209991,294.049988,294.049988,3065100
2023-07-14,298.000000,306.850006,288.440002,295.380005,295.380005,3755000
2023-07-17,299.100006,305.109985,292.190002,302.049988,302.049988,2549500
2023-07-18,302.500000,319.369995,296.149994,318.399994,318.399994,2664700
2023-07-19,324.000000,329.070007,296.399994,303.670013,303.670013,4401700
2023-07-20,298.739990,307.970001,281.339996,302.950012,302.950012,4929700
2023-07-21,309.000000,315.160004,296.010010,303.149994,303.149994,4009700
2023-07-24,303.500000,312.760010,294.730011,309.369995,309.369995,2903300
2023-07-25,309.160004,323.989990,309.160004,321.350006,321.350006,2351300
2023-07-26,319.529999,323.630005,307.190002,317.359985,317.359985,2356000
2023-07-27,325.000000,336.640015,321.010010,327.339996,327.339996,3228200
2023-07-28,334.489990,337.790009,324.839996,334.500000,334.500000,2043900
2023-07-31,335.149994,336.299988,321.019989,330.269989,330.269989,2354900
2023-08-01,322.489990,337.880005,320.000000,337.559998,337.559998,2066700
2023-08-02,328.660004,337.750000,312.019989,319.609985,319.609985,2779700
2023-08-03,314.000000,324.369995,313.000000,321.209991,321.209991,1490700
2023-08-04,324.000000,347.970001,320.220001,338.089996,338.089996,3468700
2023-08-07,352.000000,357.000000,340.829987,353.290009,353.290009,3319200
2023-08-08,344.799988,353.769989,341.029999,347.399994,347.399994,4552700
2023-08-09,297.140015,298.029999,260.250000,266.130005,266.130005,11456700
2023-08-10,265.420013,279.790009,262.299988,277.119995,277.119995,5663000
2023-08-11,269.279999,272.000000,250.500000,254.429993,254.429993,5806000
2023-08-14,250.380005,272.589996,248.399994,269.459991,269.459991,4995000
2023-08-15,267.369995,271.989990,259.230011,264.220001,264.220001,2320100
2023-08-16,263.410004,263.850006,251.860001,253.729996,253.729996,2494500
2023-08-17,255.000000,255.940002,242.529999,244.059998,244.059998,2504100
2023-08-18,236.000000,247.020004,235.149994,243.550003,243.550003,2737000
2023-08-21,244.500000,255.720001,242.250000,252.639999,252.639999,2674200
2023-08-22,257.040009,263.769989,254.009995,258.089996,258.089996,2766500
2023-08-23,260.290009,284.570007,259.250000,277.609985,277.609985,4460100
2023-08-24,298.040009,298.350006,256.500000,262.500000,262.500000,5783600
2023-08-25,261.000000,263.940002,243.009995,253.960007,253.960007,4102600
2023-08-28,257.359985,262.100006,253.729996,255.160004,255.160004,1974300
2023-08-29,253.639999,277.600006,251.009995,261.630005,261.630005,3637100
2023-08-30,263.739990,275.880005,257.320007,267.920013,267.920013,3483800
2023-08-31,270.000000,283.040009,264.049988,275.079987,275.079987,6637200
2023-09-01,277.000000,283.329987,266.549988,282.160004,282.160004,3751900
2023-09-05,279.399994,286.929993,274.269989,280.279999,280.279999,3360300
2023-09-06,277.100006,282.000000,270.299988,274.029999,274.029999,2461300
2023-09-07,265.119995,267.940002,254.199997,267.480011,267.480011,2922900
2023-09-08,266.250000,281.260010,265.579987,280.660004,280.660004,2934100
2023-09-11,285.470001,287.730011,275.059998,277.320007,277.320007,2953800
2023-09-12,273.540009,279.829987,265.670013,267.679993,267.679993,2213800
2023-09-13,267.019989,277.179993,266.209991,270.959991,270.959991,2581900
2023-09-14,271.769989,276.290009,267.920013,270.769989,270.769989,2412700
2023-09-15,268.000000,269.279999,247.199997,249.259995,249.259995,4574400
2023-09-18,241.000000,248.479996,239.119995,244.300003,244.300003,2611300
2023-09-19,248.500000,250.589996,244.080002,247.740005,247.740005,2027200
2023-09-20,247.740005,254.679993,242.389999,243.070007,243.070007,1569600
2023-09-21,234.080002,237.399994,228.259995,231.539993,231.539993,2549700
2023-09-22,234.899994,237.619995,231.360001,235.750000,235.750000,1601100
2023-09-25,234.000000,250.059998,233.360001,248.860001,248.860001,2558900
2023-09-26,245.479996,255.199997,245.479996,249.210007,249.210007,1989800
2023-09-27,252.919998,261.619995,251.080002,257.540009,257.540009,2805600
2023-09-28,256.390015,272.589996,255.000000,269.380005,269.380005,2713300
2023-09-29,274.010010,283.630005,273.000000,274.220001,274.220001,3358500
2023-10-02,275.000000,292.000000,274.630005,288.859985,288.859985,3486600
2023-10-03,286.559998,289.000000,266.329987,269.970001,269.970001,3789800
2023-10-04,273.950012,280.970001,270.600006,280.399994,280.399994,3093100
2023-10-05,279.649994,288.100006,276.500000,287.600006,287.600006,2857300
2023-10-06,284.420013,294.399994,280.609985,289.670013,289.670013,2823200
2023-10-09,284.019989,291.989990,276.640015,290.000000,290.000000,2430100
2023-10-10,295.000000,317.500000,294.980011,310.309998,310.309998,5138500
2023-10-11,311.100006,315.970001,302.559998,308.859985,308.859985,3699800
2023-10-12,312.529999,315.549988,292.260010,293.209991,293.209991,4055500
2023-10-13,293.000000,296.989990,277.589996,285.200012,285.200012,3795200
2023-10-16,284.790009,294.269989,277.859985,291.690002,291.690002,2417600
2023-10-17,281.000000,300.559998,274.279999,298.540009,298.540009,4287900
2023-10-18,292.700012,298.269989,281.459991,285.029999,285.029999,3213200
2023-10-19,287.500000,289.489990,263.750000,265.049988,265.049988,4021600
2023-10-20,264.709991,266.649994,248.039993,248.580002,248.580002,3608700
2023-10-23,246.149994,257.970001,238.660004,254.889999,254.889999,2947100
2023-10-24,259.899994,265.250000,253.190002,262.619995,262.619995,2514900
2023-10-25,261.250000,266.660004,252.800003,253.990005,253.990005,2238200
2023-10-26,252.380005,253.350006,234.669998,239.460007,239.460007,3103900
2023-10-27,248.000000,248.990005,239.589996,241.399994,241.399994,1811700
2023-10-30,245.850006,248.309998,232.869995,236.619995,236.619995,2631300
2023-10-31,236.369995,242.380005,226.589996,239.470001,239.470001,1931300
2023-11-01,241.300003,254.000000,241.210007,252.270004,252.270004,3815000
2023-11-02,260.760010,263.500000,227.369995,245.899994,245.899994,7467000
2023-11-03,249.360001,268.589996,248.320007,255.000000,255.000000,4997000
2023-11-06,257.700012,259.989990,249.199997,252.589996,252.589996,2523200
2023-11-07,253.000000,261.000000,250.210007,254.380005,254.380005,1930500
